date,protocol,tvl
2021-02-14,truefi,14688370
2021-02-15,centrifuge,411614
2021-02-15,truefi,14680014
2021-02-16,centrifuge,431237
2021-02-16,truefi,23170526
2021-02-17,centrifuge,564055
2021-02-17,truefi,27455977
2021-02-18,centrifuge,342147
2021-02-18,truefi,28847105
2021-02-19,centrifuge,493522
2021-02-19,truefi,29265316
2021-02-20,centrifuge,496290
2021-02-20,truefi,33434152
2021-02-21,centrifuge,641548
2021-02-21,truefi,37167677
2021-02-22,centrifuge,639993
2021-02-22,truefi,36883019
2021-02-23,centrifuge,681037
2021-02-23,truefi,27332260
2021-02-24,centrifuge,742440
2021-02-24,truefi,29982374
2021-02-25,centrifuge,434299
2021-02-25,truefi,29965116
2021-02-26,centrifuge,470783
2021-02-26,truefi,17320571
2021-02-27,centrifuge,562811
2021-02-27,truefi,9815860
2021-02-28,centrifuge,545435
2021-02-28,truefi,9574155
2021-03-01,centrifuge,551598
2021-03-01,truefi,9658228
2021-03-02,centrifuge,575918
2021-03-02,truefi,9477829
2021-03-03,centrifuge,1063339
2021-03-03,truefi,9665843
2021-03-04,centrifuge,1149605
2021-03-04,truefi,8507343
2021-03-05,centrifuge,1255660
2021-03-05,truefi,10028757
2021-03-06,centrifuge,1115191
2021-03-06,truefi,9284524
2021-03-07,centrifuge,1145540
2021-03-07,truefi,6557058
2021-03-08,centrifuge,1169275
2021-03-08,truefi,5345286
2021-03-09,centrifuge,1418554
2021-03-09,truefi,1690216
2021-03-10,centrifuge,1238393
2021-03-10,truefi,3994229
2021-03-11,centrifuge,847202
2021-03-11,truefi,4140621
2021-03-12,centrifuge,1213315
2021-03-12,truefi,6426649
2021-03-13,centrifuge,1077814
2021-03-13,truefi,6725222
2021-03-14,centrifuge,1099780
2021-03-14,truefi,7066007
2021-03-15,centrifuge,1108719
2021-03-15,truefi,7669951
2021-03-16,centrifuge,1106180
2021-03-16,truefi,26901680
2021-03-17,centrifuge,1256239
2021-03-17,truefi,30145727
2021-03-18,centrifuge,1283152
2021-03-18,truefi,31884747
2021-03-19,centrifuge,1289406
2021-03-19,truefi,35852168
2021-03-20,centrifuge,1377031
2021-03-20,truefi,36464145
2021-03-21,centrifuge,1393122
2021-03-21,truefi,29449661
2021-03-22,centrifuge,1393716
2021-03-22,truefi,29747068
2021-03-23,centrifuge,1518461
2021-03-23,truefi,29309781
2021-03-24,centrifuge,1406601
2021-03-24,truefi,29932686
2021-03-25,centrifuge,1465371
2021-03-25,truefi,29054638
2021-03-26,centrifuge,1472303
2021-03-26,truefi,29787862
2021-03-27,centrifuge,1483272
2021-03-27,truefi,28372017
2021-03-28,centrifuge,1880914
2021-03-28,truefi,28593181
2021-03-29,centrifuge,1883429
2021-03-29,truefi,28283366
2021-03-30,centrifuge,2057992
2021-03-30,truefi,32609827
2021-03-31,centrifuge,2072491
2021-03-31,truefi,34566841
2021-04-01,centrifuge,2404274
2021-04-01,truefi,36488598
2021-04-02,centrifuge,2583736
2021-04-02,truefi,39194336
2021-04-03,centrifuge,2133401
2021-04-03,truefi,38925814
2021-04-04,centrifuge,2244599
2021-04-04,truefi,39161800
2021-04-05,centrifuge,1956097
2021-04-05,truefi,38163050
2021-04-06,centrifuge,2281880
2021-04-06,truefi,38092478
2021-04-07,centrifuge,2136938
2021-04-07,truefi,37156201
2021-04-08,centrifuge,2262439
2021-04-08,truefi,37010451
2021-04-09,centrifuge,2417145
2021-04-09,truefi,36969545
2021-04-10,centrifuge,2439195
2021-04-10,truefi,36834632
2021-04-11,centrifuge,2733090
2021-04-11,truefi,34132751
2021-04-12,centrifuge,2696284
2021-04-12,truefi,33603917
2021-04-13,centrifuge,2660022
2021-04-13,truefi,31566340
2021-04-14,centrifuge,2714290
2021-04-14,truefi,31584079
2021-04-15,centrifuge,2879246
2021-04-15,truefi,31135745
2021-04-16,centrifuge,3391268
2021-04-16,truefi,33006067
2021-04-17,centrifuge,2207543
2021-04-17,truefi,33138301
2021-04-18,centrifuge,3058732
2021-04-18,truefi,32894071
2021-04-19,centrifuge,3184084
2021-04-19,truefi,28168233
2021-04-20,centrifuge,3202891
2021-04-20,truefi,27849195
2021-04-21,centrifuge,2635697
2021-04-21,truefi,28713809
2021-04-22,centrifuge,2424585
2021-04-22,truefi,27250058
2021-04-23,centrifuge,2040631
2021-04-23,truefi,27157818
2021-04-24,centrifuge,2043068
2021-04-24,truefi,27137292
2021-04-25,centrifuge,2050702
2021-04-25,truefi,26819081
2021-04-26,centrifuge,2250879
2021-04-26,truefi,26927214
2021-04-27,centrifuge,2255430
2021-04-27,truefi,28309019
2021-04-28,centrifuge,2337986
2021-04-28,truefi,29457481
2021-04-29,centrifuge,2502536
2021-04-29,truefi,29253161
2021-04-30,centrifuge,2194020
2021-04-30,truefi,30866269
2021-05-01,centrifuge,2418877
2021-05-01,truefi,31605785
